REFLEX	ETYMA	LEMMA	POS [OLD]	INFLECTION CLASS [OLD]	BASE TAGS [OLD]	REFLEX INFLECTED	ETYMA INFLECTED	INFLECTED TAGS [OLD]	FL2 [[OLD]]	IRREGULARITIES	CUT	ADDED	NOTES	SOURCE [NOTES]
imago:	['ima:go:']	IMAGO	Noun	3	Nm-F-S	ima:ginis	['ima:genes']	Gn-F-S	G3			TRUE		
imber	['emβris']	IMBER	Noun	3	Nm-M-S	imbris	['emβres']	Gn-M-S	G3					
imbuo:	['emðuo:']	IMBUO	Verb	3	1-S-Pr-Act-Ind	imbuit	['emðueti']	3-S-Pr-Act-Ind	V3				We assume the fricative was voiced. 	
immitto:	['enmeito:']	IMMITTO	Verb	3	1-S-Pr-Act-Ind	immittit	['enmeiteti']	3-S-Pr-Act-Ind	V3	PHONOLOGY			[Phonology] Quantitative metathesis (meit > mi:t > mit:). (A rare but occasional effect, the 'littera' rule).	
imperfectus	['emperifaktos']	IMPERFECTUS	Adjective	2	Nm-M-S-Ps	imperfecti:	['emperifakti:']	Gn-M-S-Ps	G2					
in	['en']	IN	Preposition											
incide:ns	['enkadents']										TRUE		We're not doing derived pres. participles. I did add the regular verbs though.	
inci:de:ns	['enkaidents']										TRUE		We're not doing derived pres. participles. I did add the regular verbs though.	
incido:	['enkado:']	INCIDO1	Verb	3	1-S-Pr-Act-Ind	incidit	['enkadeti']	3-S-Pr-Act-Ind	V3			TRUE		
inci:do:	['enkaido:']	INCIDO2	Verb	3	1-S-Pr-Act-Ind	inci:dit	['enkaideti']	3-S-Pr-Act-Ind	V3			TRUE		
inci:le	['enkaidslis']	INCILE	Noun	3	Nm-N-S	inci:lis	['enkaidslis']	Gn-N-S	G3				We cut Wiktionary's *en-kaid-slis and en-kaid-slis. We also removed their morpheme boundary hyphens.	
incolo:	['enkʷelo:']	INCOLO	Verb	3	1-S-Pr-Act-Ind	incolit	['enkʷeleti']	3-S-Pr-Act-Ind	V3					
indigenus	['endogenos']	INDIGENUS	Adjective	2	Nm-M-S-Ps	indigeni:	['endogeni:']	Gn-M-S-Ps	G2					
indiges	['endagets']	INDIGES	Noun	3	Nm-N-S	indigitis	['endagetes']	Gn-N-S	G3			TRUE		
indulgeo	['endolɣejeo:']	INDULGEO	Verb	2	1-S-Pr-Act-Ind	indulget	['endolɣejeti']	3-S-Pr-Act-Ind	V3			TRUE		
ineptus	['enaptos']	INEPTUS	Adjective	2	Nm-M-S-Ps	inepti:	['enapti:']	Gn-M-S-Ps	G2					
inermis	['enarmis']	INERMIS	Adjective	3	Nm-M/F-S-Ps	inermis	['enarmes']	Gn-M/F-S-Ps	G3					
iners	['enartis']	INERS	Adjective	3	Nm-M/F/N-S-Ps	inertis	['enartes']	Gn-M/F/N-S-Ps	G3					
inertia	['enartja:']	INERTIA	Noun	1	Nm-F-S	inertiae	['enartja:i:']	Gn-F-S	G1					
i:nfestus	['enfristos']	INFESTUS	Adjective	2	Nm-M-S-Ps	i:nfesti:	['i:nfristi:']	Gn-M-S-Ps	G2			TRUE		
iŋge:ns	['emgants']	INGENS	Adjective	3	Nm-M/F/N-S-Ps	iŋgentis	['emgantes']	Gn-M/F/N-S-Ps	G3			TRUE		
iŋgenuus	['engegenwos']	INGENUUS	Adjective	2	Nm-M-S-Ps	iŋgenui:	['engegenwi:']	Gn-M-S-Ps	G2					
iŋguen	['engwen']	INGUEN	Noun	3	Nm-N-S	iŋguinis	['engwenes']	Gn-N-S	G3			TRUE		
inimi:cus	['enami:kos']	INIMICUS	Noun	2	Nm-M-S	inimici:	['enami:ki:']	Gn-M-S	G2					
insti:go:	['ensteiga:jo:']	INSTIGO	Verb	1	1-S-Pr-Act-Ind	insti:gat	['ensteiga:jeti']	3-S-Pr-Act-Ind	V3			TRUE		
integer	['entagros']	INTEGER	Adjective	2	Nm-M-S-Ps	integri:	['entagri:']	Gn-M-S-Ps	G2					
interpres	['enterporets']	INTERPRES	Noun	3	Nm-M/F-S	interpretis	['enterporetes']	Gn-M/F-S	G3			TRUE		
inter	['enter']	INTER	Preposition											
intesti:nus	['entersti:nos']	INTESTINUS	Adjective	2	Nm-M-S-Ps	intesti:ni:	['entersti:ni:']	Gn-M-S-Ps	G2			TRUE		
invi:to:	['enwi:ta:jo:']	INVITO	Verb	1	1-S-Pr-Act-Ind	invi:tat	['enwi:ta:jeti']	3-S-Pr-Act-Ind	V3			TRUE		
invi:tus	['enwi:tos']	INVITUS	Adjective	2	Nm-M-S-Ps	invi:ti:	['enwi:ti:']	Gn-M-S-Ps	G2			TRUE		
iocus	['jokos']	IOCUS	Noun	2	Nm-M-S	ioci:	['joki:']	Gn-M-S	G2			TRUE		
irritus	['enratos']	IRRITUS	Adjective	2	Nm-M-S-Ps	irriti:	['enrati:']	Gn-M-S-Ps	G2					
irri:to:	['enri:ta:jo:']	IRRITO	Verb	1	1-S-Pr-Act-Ind	irri:tat	['enri:ta:jeti']	3-S-Pr-Act-Ind	V3					
is	['is']	IS	Pronoun	Special	Nm-M-S									
iter	['eitor']	ITER	Noun	3	Nm-N-S	itineris	['itenos']	Gn-N-S	G3	PARADIGM LEVELING		TRUE	[Paradigm Leveling] This word was wholly remodeled, with an oblique stem perhaps from faci-neris.	
itus	['itus']	ITUS	Noun	4	Nm-M-S	itu:s	['ituos']	Gn-M-S	G4					
iubar	['djufaos']	IUBAR	Noun	3	Nm-N-S	iubaris	['djufa:ses']	Gn-N-S	G3	PARADIGM LEVELING		TRUE	[Paradigm Leveling] The short -a- in the oblique cases is adopted from the nominative.	
iubeo:	['jouðejo:']	IUBEO	Verb	2	1-S-Pr-Act-Ind	iubet	['jouðejeti:']	3-S-Pr-Act-Ind	V3					
iuba	['juða:']	IUBA	Noun	1	Nm-F-S	iubae	['juða:i:']	Gn-F-S	G1					
iugum	['jugom']	IUGUM	Noun	2	Nm-N-S	iugi:	['jugi:']	Gn-N-S	G2					
iugus	['jugos']	IUGUS	Adjective	2	Nm-M-S-Ps	iugi:	['jugi:']	Gn-M-S-Ps	G2					
iu:ncus	['joinikos']	IUNCUS	Noun	2	Nm-M-S	iu:nci:	['joiniki:']	Gn-M-S	G2				If the -u- really is from *-oi-, then -u:- (long) should be reconstructed, even though the quantity is 'hidden'.	
iuŋgo:	['jungo:']	IUNGO	Verb	3	1-S-Pr-Act-Ind	iuŋgit	['jungeti']	3-S-Pr-Act-Ind	V3					
iustus	['jowestos']	IUSTUS	Adjective	2	Nm-M-S-Ps	iusti:	['jowesti:']	Gn-M-S-Ps	G2			TRUE		
iuvencus	['juwenkos']	IUVENCUS	Adjective	2	Nm-M-S-Ps	iuvenci:	['juwenki:']	Gn-M-S-Ps	G2			TRUE		
iuvenis	['juwenis']	IUVENIS	Adjective	3	Nm-M/F/N-S-Ps	iuvenis	['juwenes']	Gn-M/F/N-S-Ps	G3					
iuventa	['juwenta:']	IUVENTA	Noun	1	Nm-F-S	iuventae	['juwenta:i:']	Gn-F-S	G1					
iuvo:	['ijowa:jo:']	IUVO	Verb	1	1-S-Pr-Act-Ind	iuvat	['ijowa:jeti']	3-S-Pr-Act-Ind	V3			TRUE		
iu:dex	['jowozdiks']	IUDEX	Noun	3	Nm-M-S	iu:dicis	['jowozdikes']	Gn-M-S	G3	MORPHOLOGY		TRUE	[Morphlogy] -dex is considered an analogical replacement. The ø-grade of *deik is *dik. That is, -iks doesn't phonetically come out as -eks.	
iu:gus	['jougos']	IUGUS	Noun	Special	Nm-N-S	iu:gera	['jougeza']	Nm-N-P	N2P				The forms of this noun underwent a paradigm split. The original singular *yougos formed a 3rd decl. plural *yougesa > iu:gera; and then a second declension singular iu:gerum was back-formed. No purely phonetic process will yield a singular iu:gerum from the inherited *yougos. Hence, we have *yougos here even though iu:gus isn't a later Latin word.	
iu:gis	['ju:gwi:s']	IUGIS	Adjective	3	Nm-M/F-S-Ps	iu:gis	['ju:gwi:s']	Gn-M/F-S-Ps	G3	MORPHOLOGY, PHONOLOGY			[Morphology] If this etymology is right ('having eternal life'), then a long i stem was remodeled into a short i stem (Latin does not have any of the former). [Phonology] If this etymology is right ('having eternal life'), *gw delabialized after *u.	
iu:gla:ns	['djougla:nts']	IUGLANS	Noun	3	Nm-F-S	iu:gla:ndis	['djougla:ndes']	Gn-F-S	G3				In the nominative singular, voicing assimilation has been applied.	
iu:mentum	['jouksmentom']	IUMENTUM	Noun	2	Nm-N-S	iu:menti:	['jouksmenti:']	Gn-N-S	G2					
iu:nior	['juwenjo:s']	IUVENIS	Adjective	3	Nm-M/F-S-Cm	iu:nio:ris	['juwenjo:ses']	Gn-M/F-S-Cm	G3					
iu:rgo:	['joweza:go']	IURGO	Verb	1	1-S-Pr-Act-Ind	iurgat	['jowesa:geti']	3-S-Pr-Act-Ind	V3			TRUE		
iu:ro:	['joweza:jo:']	IURO	Verb	1	1-S-Pr-Act-Ind	iu:rat	['joweza:jeti']	3-S-Pr-Act-Ind	V1					
iu:s_1	['ju:s']	IUS1	Noun	3	Nm-N-S	iu:ris	['ju:zos']	Gn-N-S	G3			TRUE	There are two words of which the nominative is iu:s, I have added the second one here. The stem is sometimes reconstructed as jowas but I think just ju:- is fine.	
iu:s_2	['jowos']	IUS2	Noun	3	Nm-N-S	iu:ris	['jowezos']	Gn-N-S	G3					
iu:stus	['jowestos']	IUSTUS	Adjective	2	Nm-M-S-Ps	iu:sti:	['jowesti:']	Gn-M-S-Ps	G2					
iu:xta:	['jougista:d']	IUXTA	Preposition									TRUE		
i:co:	['i:ko:']	ICO	Verb	3	1-S-Pr-Act-Ind	i:cit	['i:keti']	3-S-Pr-Act-Ind	V3			TRUE		
i:dem	['izdim']	IDEM	Pronoun	Special	Nm-M-S									
i:nfectus_1	['enfaktos']	INFECTUS1	Adjective	2	Nm-M-S-Ps	infecti:	['enfakti:']	Gn-M-S-Ps	G2				The form infectus does have two origins ('not-done' and 'in-done' = 'dyed' etc.) but once the privative becomes *en the forms are identical. That is, Wiktionary has an infectus_1 and an infectus_2 for semantic, not phonological or structural, reasons, so I wonder whether for the purposes of this data set there really should be two lemmata.	
i:nfectus_2	['enfaktos']	INFECTUS2	Adjective	2	Nm-M-S-Ps	infecti:	['enfakti:']	Gn-M-S-Ps	G2				The form infectus does have two origins ('not-done' and 'in-done' = 'dyed' etc.) but once the privative becomes *en the forms are identical. That is, Wiktionary has an infectus_1 and an infectus_2 for semantic, not phonological or structural, reasons, so I wonder whether for the purposes of this data set there really should be two lemmata.	
i:nferus	['enðeros']	INFERUS	Adjective	2	Nm-M-S-Ps	i:nferi:	['enðeri:']	Gn-M-S-Ps	G2					
i:nficio:	['enfakjo:']	INFICIO	Verb	3	1-S-Pr-Act-Ind	i:nficit	['enfakjeti']	3-S-Pr-Act-Ind	V3					
i:nstruo:	['enstrowo:']	INSTRUO	Verb	3	1-S-Pr-Act-Ind	i:nstruit	['enstroweti']	3-S-Pr-Act-Ind	V3					
i:nstru:ctus	['enstrougtos']	INSTRUO	Participle	2	Pf-Psv-Nm-M-S-Ps	i:nstru:cti:	['enstrougti:']	Pf-Psv-Gn-M-S-Ps	G2				We cut Wiktionary's *enstroutos. We also add -g- in the etyma. The participle in -ctus (and the perfect in -xi) are probably analogical to fluo, which makes fluxi, fluctum. That is, instruo has rhyme forms. *Enstroutos is possible as an original *-to- participle (with the wrong grade, though), but it doesn't become instructus by any phonological process.	
i:nsece	['ensekwe']	INSEQUOR	Verb	3	2-S-Pr-Act-Imp							TRUE		
i:nstauro:	['enstaura:jo:']	INSTAURO	Verb	1	1-S-Pr-Act-Ind	i:nstaurat	['enstaura:jeti']	3-S-Pr-Act-Ind	V3			TRUE		
i:nsula	['ensela:']	INSULA	Noun	1	Nm-F-S	i:nsulae	['ensela:i:']	Gn-F-S	G1					
i:ra	['eiza:']	IRA	Noun	1	Nm-F-S	i:rae	['eiza:i:']	Gn-F-S	G1					
labium	['labjom']	LABIUM	Noun	2	Nm-N-S	labi:	['labji:']	Gn-N-S	G2			TRUE		
labo:	['laba:jo:']	LABO	Verb	1	1-S-Pr-Act-Ind	labat	['laba:jeti']	3-S-Pr-Act-Ind	V3			TRUE		
labo:s	['labo:s']	LABOR	Noun	3	Nm-M-S	labo:ris	['labo:zes']	Gn-M-S	G3			TRUE		
lac	['dlakts']	LAC	Noun	3	Nm-N-S	lactis	['dlaktes']	Gn-N-S	G3					
lacer	['lakiros']	LACER	Adjective	2	Nm-M-S-Ps	laceri:	['lakiri:']	Gn-M-S-Ps	G2			TRUE		
lacruma	['dakruna:']	LACRIMA	Noun	1	Nm-F-S	lacrumae	['dakruna:i:']	Gn-F-S	G1	PHONOLOGY		TRUE	[Phonology] This reconstruction (there are others) requires distant dissimilation of d-n to d-m. This reconstruction (there are others) also requires the (areal?) change of #d- > #l.	
lacus	['lakus']	LACUS	Noun	4	Nm-M-S	lacu:s	['lakuos']	Gn-M-S	G4					
lacio:	['lakjo:']	LACIO	Verb	3	1-S-Pr-Act-Ind	lacit	['lakjeti']	3-S-Pr-Act-Ind	V3					
laesus	['laidtos']	LAESUS	Adjective	2	Nm-M-S-Ps	laesi:	['laidti:']	Gn-M-S-Ps	G2			TRUE		
laevus	['laiwos']	LAEVUS	Adjective	2	Nm-M-S-Ps	laevi:	['laevi:']	Gn-M-S-Ps	G2			TRUE		
lambo:	['lambo:']	LAMBO	Verb	3	1-S-Pr-Act-Ind	lambit	['lambeti']	3-S-Pr-Act-Ind	V3			TRUE		
laŋgueo	['langue:o:']	LANGUEO	Verb	2	1-S-Pr-Act-Ind	laŋguet	['langue:eti']	3-S-Pr-Act-Ind	V3			TRUE		
lapis	['lapats']	LAPIS	Noun	3	Nm-M-S	lapidis	['lapedes']	Gn-M-S	G3			TRUE		
lanius	['lamjos']	LANIUS	Noun	2	Nm-M-S	lani:	['lamji:']	Gn-M-S	G2			TRUE	de Vaan reconstructs *lamjo-, but for venio he has gwnje- (both roots originally ended in -m).	deVaan2008
lassus	['lassos']	LASSUS	Adjective	2	Nm-M-S-Ps	lassi:	['lassi:']	Gn-M-S-Ps	G2					
lateo:	['late:o:']	LATEO	Verb	2	1-S-Pr-Act-Ind	latet	['late:eti']	3-S-Pr-Act-Ind	V3					
laus	['lawets']	LAUS	Noun	3	Nm-F-S	laudis	['lawedes']	Gn-F-S	G3			TRUE		
la:brum	['lawa:ðrom']	LABRUM	Noun	2	Nm-N-S	la:bri:	['lawa:ðri:']	Gn-N-S	G2			TRUE	There is a lavabrum, but this looks like a later recomposition.	
lavo:	['lawa:jo:']	LAVO	Verb	1	1-S-Pr-Act-Ind	lavat	['lawa:jeti']	3-S-Pr-Act-Ind	V3					
lax	['laks']	LAX	Noun	3	Nm-F-S								No genitive attested.	
laxus	['slaksos']	LAXUS	Adjective	2	Nm-M-S-Ps	laxi:	['slaksi:']	Gn-M-S-Ps	G2			TRUE		
la:mentum	['la:mentom']	LAMENTUM	Noun	2	Nm-N-S	la:menti:	['la:menti:']	Gn-N-S	G2					
la:na:	['wla:na:']	LANA	Noun	1	Nm-F-S	la:nae	['wla:na:i:']	Gn-F-S	G1					
la:tus_1	['tla:tos']	FERO	Participle	2	Pf-Psv-Nm-M-S-Ps	la:ti:	['tla:ti:']	Pf-Psv-Gn-M-S-Ps	G2					
la:tus_2	['stla:tos']	LATUS	Adjective	2	Nm-M-S-Ps	la:ti:	['stla:ti:']	Gn-M-S-Ps	G2					
lectus	['lektos']	LEGO	Adjective	2	Nm-M-S-Ps	lecti:	['lekti:']	Gn-M-S-Ps	G2			TRUE		
lego:	['lego:']	LEGO	Verb	3	1-S-Pr-Act-Ind	legit	['legit']	3-S-Pr-Act-Ind	V3					
levis	['leɣʷis']	LEVIS1	Adjective	3	Nm-M/F-S-Ps									
le:nis	['le:nis']	LENIS	Adjective	3	Nm-M/F-S-Ps	le:nis	['lenes']	Gn-M/F-S-Ps	G3					
le:vir	['daiwe:r']	LEVIR	Noun	2	Nm-M-S					PHONOLOGY			[Phonology] Initial d- seems securely reconstructable; but interchange of -d- with -l- is sporadic (areal phenomenon?).	
le:vis	['le:iwis']	LEVIS2	Adjective	3	Nm-M/F-S-Ps	le:vis	['le:iwes']	Gn-M/F-S-Ps	G3					
liber	['luβros']	LIBER1	Noun	2	Nm-M-S	libri:	['luβri:']	Gn-M-S	G2					
libet	['luβe:t']	LIBEO	Verb	2	3-S-Pr-Act-Ind									
liŋnum	['legnom']	LIGNUM	Noun	2	Nm-N-S	liŋni:	['legni:']	Gn-N-S	G2					
liŋgua	['denɣwa:']	LINGUA	Noun	1	Nm-F-S	liŋgua	['denɣwa:i:']	Gn-F-S	G1	PHONOLOGY			[Phonology] Initial d- seems securely reconstructable; but interchange of -d- with -l- is sporadic (areal phenomenon?).	
lino:	['lino:']	LINO	Verb	3	1-S-Pr-Act-Ind	linit	['lineti']	3-S-Pr-Act-Ind	V3					
linquo:	['linkʷo:']	LINQUO	Verb	3	1-S-Pr-Act-Ind	linquit	['linkʷeti']	3-S-Pr-Act-Ind	V3					
liqueo:	['wlikʷe:o:']	LIQUEO	Verb	2	1-S-Pr-Act-Ind	liquet	['wlikʷe:eti']	3-S-Pr-Act-Ind	V3					
li:ber	['louðeros']	LIBER2	Adjective	2	Nm-M-S-Ps	li:beri:	['louðeri:']	Gn-M-S-Ps	G2					
li:bertus	['louðertos']	LIBERTUS	Noun	2	Nm-M-S	li:berti:	['louðerti:']	Gn-M-S	G2					
li:bra	['leiθra:']	LIBRA	Noun	1	Nm-F-S	li:brae	['leiθra:i:']	Gn-F-S	G1					
li:bum	['leiβom' 'loiβom']	LIBUM	Noun	2	Nm-N-S	li:bi:	['leiβi:' 'loiβi:']	Gn-N-S	G2					
li:mus	['sloimos']	LIMUS1	Noun	2	Nm-M-S	li:mi:	['sloimi:']	Gn-M-S	G2			TRUE		
li:mus	['li:mos']	LIMUS2	Adjective	2	Nm-M-S-Ps	li:mi:	['li:mi:']	Gn-M-S-Ps	G2					
li:num	['li:nom']	LINUM	Noun	2	Nm-N-S	li:ni:	['li:ni:']	Gn-N-S	G2					
li:ra	['loiza:']	LIRA	Noun	1	Nm-F-S	li:rae	['loiza:i:']	Gn-F-S	G1					
li:s	['sli:tis']	LIS	Noun	3	Nm-F-S	li:tis	['sli:tes']	Gn-F-S	G3					
littera	['li:tera:']	LITTERA	Noun	1	Nm-F-S	litterae	['li:tera:i:']	Gn-F-S	G1					
li:tus	['leitos']	LITUS	Noun	3	Nm-N-S	li:toris	['leitores']	Gn-N-S	G3			TRUE		
li:veo:	['sleiwe:o:' 'leiwe:o:' 'sli:we:o:' 'li:we:o:' 'sloiwe:o:' 'loiwe:o:']	LIVEO	Verb	2	1-S-Pr-Act-Ind	li:vet	['sleiwe:eti' 'leiwe:eti' 'sli:we:eti' 'li:we:eti' 'sloiwe:eti' 'loiwe:eti']	3-S-Pr-Act-Ind	V3					
loco:	['stloka:jo:']	LOCO	Verb	1	1-S-Pr-Act-Ind	locat	['stloka:jeti']	3-S-Pr-Act-Ind	V3					
locus	['stlokos']	LOCUS	Noun	2	Nm-M-S	loci:	['stloki:']	Gn-M-S	G2					
loŋgus	['dlongos']	LONGUS	Adjective	2	Nm-M-S-Ps	loŋgi:	['dlongi:']	Gn-M-S-Ps	G2					
loqua:x	['tlokʷa:ks']	LOQUAX	Adjective	3	Nm-M/F/N-S-Ps	loqua:cis	['tlokʷa:kes']	Gn-M/F/N-S-Ps	G3					
loquor	['tlokʷo:r']	LOQUOR	Verb	3	1-S-Pr-Dep-Ind	loquitur	['tlokʷetor']	3-S-Pr-Dep-Ind	V3					
lucrum	['luklom']	LUCRUM	Noun	2	Nm-N-S	lucri:	['lukli:']	Gn-N-S	G2			TRUE		
lumbus	['lonðwos']	LUMBUS	Noun	2	Nm-M-S	lumbi:	['lonðwi:']	Gn-M-S	G2	PHONOLOGY			[Phonology] The -b- is apparently from -nðw- > -ndw- > -nb- > -mb-.	
lumbus	['lonðwos']		Noun	2	Nm-M-S	lumbi:	['lonðwi:']	Gn-M-S	G2	BORROWING	TRUE		[Borrowing] The b or the form may be a borrowing from Sabellic.	
lupus	['lukʷos']	LUPUS	Noun	2	Nm-M-S	lupi:	['lukʷi:']	Gn-M-S	G2					
luscus	['lukskos']	LUSCUS	Adjective	2	Nm-M-S-Ps	lusci:	['lukski:']	Gn-M-S-Ps	G2					
lutra	['utra:']	LUTRA	Noun	1	Nm-F-S	lutrae	['utra:i:']	Gn-F-S	G1	ASSOCIATION			[Association] The l- was added for some reason, perhaps by association with ludere (before the -d- devoiced).	
lutum	['lutom']	LUTUM	Noun	2	Nm-N-S	luti:	['luti:']	Gn-N-S	G2					
luxus	['luksos']	LUXUS	Adjective	2	Nm-M-S-Ps	luxi:	['luksi:']	Gn-M-S-Ps	G2					
lu:bricus	['slouβrikos']	LUBRICUS	Adjective	2	Nm-M-S-Ps	lu:brici:	['slouβriki:']	Gn-M-S-Ps	G2					
lu:ceo:	['louke:o:']	LUCEO	Verb	2	1-S-Pr-Act-Ind	lu:cet	['louke:eti']	3-S-Pr-Act-Ind	V3					
lu:cus	['loukos']	LUCUS	Noun	2	Nm-M-S	lu:ci:	['louki:']	Gn-M-S	G2			TRUE		
lu:ctor	['lukta:o:r']	LUCTOR	Verb	1	1-S-Pr-Dep-Ind	lu:cta:tur	['lukta:jetor']	3-S-Pr-Dep-Ind	V3					
lu:do:	['loido:']	LUDO	Verb	2	1-S-Pr-Act-Ind	lu:det	['loideti']	3-S-Pr-Act-Ind	V3					
lu:dus	['loidos']	LUDUS	Noun	2	Nm-M-S	lu:di:	['loidi:']	Gn-M-S	G2					
lu:geo:	['lougejeo:']	LUGEO	Verb	2	1-S-Pr-Act-Ind	lu:get	['lougejeti']	3-S-Pr-Act-Ind	V3					
lu:na	['loukzna:']	LUNA	Noun	1	Nm-F-S	lu:na	['loukzna:i:']	Gn-F-S	G1					
luo:	['luwo:']	LUO	Verb	2	1-S-Pr-Act-Ind	luet	['luweti']	3-S-Pr-Act-Ind	V3					
lu:strum	['lu:strom']	LUSTRUM	Noun	2	Nm-N-S	lu:stri:	['lu:stri:']	Gn-N-S	G2					
lu:x	['louks']	LUXUS	Noun	3	Nm-F-S	lu:cis	['loukes']	Gn-F-S	G3					
macer	['makros']	MACER	Adjective	2	Nm-M-S-Ps	macri:	['makri:']	Gn-M-S-Ps	G2					
macula	['smatla:']	MACULA	Noun	1	Nm-F-S	maculae	['smatla:i:']	Gn-F-S	G1			TRUE		
mactus	['maktos']	MACTUS	Adjective	2	Nm-M-S-Ps	macti:	['makti:']	Gn-M-S-Ps	G2					
madeo:	['made:o:']	MADEO	Verb	2	1-S-Pr-Act-Ind	madet	['made:eti']	3-S-Pr-Act-Ind	V3			TRUE		
maereo:	['maise:o:']	MAEREO	Verb	2	1-S-Pr-Act-Ind	maeret	['maise:eti']	3-S-Pr-Act-Ind	V3			TRUE		
magis	['magis']	MAGIS	Adverb		Cm									
magister	['magisteros']	MAGISTER	Noun	2	Nm-M-S	magistri:	['magisteri:']	Gn-M-S	G2					
maŋnus	['magnos']	MAGNUS	Adjective	2	Nm-M-S-Ps	maŋni:	['magni:']	Gn-M-S-Ps	G2					
malleus	['molaleos']	MALLEUS	Noun	2	Nm-M-S	mallei:	['molalei:']	Gn-M-S	G2	PHONOLOGY		TRUE	[Phonology] Unrounding of o after m.	
maliŋnus	['malignos']	MALIGNUS	Adjective	2	Nm-M-S-Ps	maliŋni:	['maligni:']	Gn-M-S-Ps	G2					
maiior	['magjo:s']	MAGNUS	Adjective	3	Nm-M/F-S-Cm	maiio:ris	['magjo:ses']	Gn-M/F-S-Cm	G2				The -i- represents a geminant (sometimes so spelled).	
malus	['malos']	MALUS1	Adjective	2	Nm-M-S-Ps	mali:	['mali:']	Gn-M-S-Ps	G2					
manceps	['manukaps']	MANCEPS	Noun	3	Nm-M-S	mancipis	['manukapes']	Gn-M-S	G3					
mando:	['mandno:']	MANDO	Verb	3	1-S-Pr-Act-Ind	mandit	['mandneti']	3-S-Pr-Act-Ind	V3					
maneo	['mone:o:']	MANEO	Verb	2	1-S-Pr-Act-Ind	manet	['mone:eti']	3-S-Pr-Act-Ind	V3	PHONOLOGY		TRUE	[Phonology] Unrounding after m; grade of root disputed.	
mante:lum	['mantergslom']	MANTELUM	Noun	2	Nm-N-S	mante:li:	['mantergsli:']	Gn-N-S	G2					
manus	['manus']	MANUS	Noun	4	Nm-F-S	manu:s	['manuos']	Gn-F-S	G4					
matea	['mateja:']	MATEA	Noun	1	Nm-F-S	mateae	['mateja:i:']	Gn-F-S	G1			TRUE	This term was attested only in the diminutive mateola; original simplex is reconstructed here.	
marceo:	['marke:o:']	MARCEO	Verb	2	1-S-Pr-Act-Ind	marcet	['marke:eti']	3-S-Pr-Act-Ind	V3			TRUE		
marculus	['molklos']	MARCULUS	Noun	2	Nm-M-S	marculi:	['molkli:']	Gn-M-S	G2	PHONOLOGY			[Phonology] Dissimilation of liquids; early unrounding.	
margo:	['margo:']	MARGO	Noun	3	Nm-M/F-S	marginis	['margenes']	Gn-M/F-S	G3			TRUE		
mare	['mari']	MARE	Noun	3	Nm-N-S	maris	['mares']	Gn-N-S	G3					
mari:tus	['mareitos']	MARITUS	Adjective	2	Nm-M-S-Ps	mari:ti:	['mareiti:']	Gn-M-S-Ps	G2			TRUE		
maximus	['magisamos']	MAGNUS	Adjective	2	Nm-M-S-Sp	maximi:	['magisami:']	Gn-M-S-Ps	G2				Vowel before m unclear.	
ma:cero:	['ma:kera:jo:']	MACERO	Verb	1	1-S-Pr-Act-Ind	ma:cerat	['makera:jeti']	3-S-Pr-Act-Ind	V3			TRUE		
ma:la	['smaksla:']	MALA	Noun	1	Nm-F-S	ma:lae	['smaksla:i:']	Gn-F-S	G1					
ma:lus	['masdos']	MALUS2	Noun	2	Nm-F-S	ma:li:	['masdi:']	Gn-F-S	G2	PHONOLOGY		TRUE	[Phonology] d > l, sometimes said to be an areal phenomenon.	
ma:no:	['ma:na:jo:']	MANO	Verb	1	1-S-Pr-Act-Ind	ma:nat	['ma:na:jeti']	3-S-Pr-Act-Ind	V3			TRUE		
ma:nsus	['mandtos']	MANEO	Participle	2	Pf-Psv-Nm-M-S-Ps	ma:nsi:	['mandti:']	Pf-Psv-Gn-M-S-Ps	G2			TRUE		
ma:s	['ma:s']	MAS	Adjective	3	Nm-M/F/N-S-Ps	maris	['mases']	Gn-M/F/N-S-Ps	G3			TRUE		
ma:ter	['ma:te:r']	MATER	Noun	3	Nm-F-S	ma:tris	['ma:tres']	Gn-F-S	G3					
ma:tri:x	['ma:tri:ks']	MATRIX	Noun	3	Nm-F-S									
ma:tu:rus	['ma:tu:ros']	MATURUS	Adjective	2	Nm-M-S-Ps	ma:tu:ri:	['ma:tu:ri:']	Gn-M-S-Ps	G2			TRUE		
medeor	['mede:o:r']	MEDEOR	Verb	2	1-S-Pr-Dep-Ind	mede:tur	['mede:etor']	3-S-Pr-Dep-Ind	V3					
medius	['meðjos']	MEDIUS	Adjective	2	Nm-M-S-Ps	medii:	['meðji:']	Gn-M-S-Ps	G2					
medulla	['smerula:']	MEDULLA	Noun	1	Nm-F-S	medullae	['smerula:i:']	Gn-F-S	G1	PHONOLOGY			[Phonology] There is a PIE *smeru- 'marrow', but if that's the etymon, then d > r.	
mel	['meli']	MEL	Noun	3	Nm-N-S	mellis	['melites']	Gn-N-S	G3	PHONOLOGY			[Phonology] -lit- > -ld- > -ll-? (So some.)	
melior	['meljo:s']	BONUS	Adjective	3	Nm-M/F-S-Cm	melio:ris	['meljozes']	Gn-M/F-S-Cm	G3	PARADIGM LEVELING			[Paradigm Leveling] The o: was proper only to the nom but spread.	
membrum	['memzrom']	MEMBRUM	Noun	2	Nm-N-S	membri:	['memzri:']	Gn-N-S	G2					
